jour date ETP
[nb jours] [an mois jour] [mm]
0 19940901 2.976
14 19940915 2.341
44 19941015 1.546
75 19941115 0.639
105 19941215 0.301
136 19950115 0.205
167 19950215 0.336
195 19950315 0.803
226 19950415 1.381
256 19950515 2.544
287 19950615 3.645
317 19950715 4.046
348 19950815 3.716
379 19950915 2.341
409 19951015 1.546
440 19951115 0.639
470 19951215 0.301
501 19960115 0.205
532 19960215 0.336
561 19960315 0.803
592 19960415 1.381
622 19960515 2.544
653 19960615 3.645
683 19960715 4.046
714 19960815 3.716
745 19960915 2.341
775 19961015 1.546
806 19961115 0.639
836 19961215 0.301
867 19970115 0.205
898 19970215 0.336
926 19970315 0.803
957 19970415 1.381
987 19970515 2.544
1018 19970615 3.645
1048 19970715 4.046
1079 19970815 3.716
1110 19970915 2.341
1140 19971015 1.546
1171 19971115 0.639
1201 19971215 0.301
1232 19980115 0.205
1263 19980215 0.336
1291 19980315 0.803
1322 19980415 1.381
1352 19980515 2.544
1383 19980615 3.645
1413 19980715 4.046
1444 19980815 3.716
1475 19980915 2.341
1505 19981015 1.546
1536 19981115 0.639
1566 19981215 0.301
1597 19990115 0.205
1628 19990215 0.336
1656 19990315 0.803
1687 19990415 1.381
1717 19990515 2.544
1748 19990615 3.645
1778 19990715 4.046
1809 19990815 3.716
1840 19990915 2.341
1870 19991015 1.546
1901 19991115 0.639
1931 19991215 0.301
1962 20000115 0.205
1993 20000215 0.336
2022 20000315 0.803
2053 20000415 1.381
2083 20000515 2.544
2114 20000615 3.645
2144 20000715 4.046
2175 20000815 3.716
2191 20000831 2.976
